id,item,vowel,language,f1_cent,f2_cent,tl,f1_20,f1_35,f1_50,f1_65,f1_80,f2_20,f2_35,f2_50,f2_65,f2_80
ajl,meet,i,en,417.61,2084.71,3018.38,414.44,413.52,418.95,417.50,423.65,2361.47,2387.98,2382.67,896.61,2394.79
ajl,beat,i,en,292.39,2185.02,78.23,285.13,285.38,287.32,289.37,314.75,2147.75,2184.69,2195.26,2193.22,2204.18
ajl,feet,i,en,320.17,2224.76,152.73,297.50,299.93,312.58,339.11,351.70,2191.06,2229.10,2255.55,2252.65,2195.43
ajl,seat,i,en,303.99,2206.11,103.86,289.36,288.21,294.64,309.89,337.88,2188.51,2194.00,2209.10,2239.09,2199.85
ajl,heat,i,en,305.60,2202.30,104.90,289.72,293.26,297.73,308.27,339.00,2207.53,2232.02,2204.85,2186.17,2180.93
ajl,fleet,i,en,330.65,2301.61,76.86,336.71,327.96,320.66,324.37,343.59,2314.49,2303.92,2314.35,2305.78,2269.49
ajl,moss,a,en,663.67,1052.48,90.72,699.03,661.28,653.79,652.12,652.15,1058.51,1027.60,1050.16,1057.99,1068.13
ajl,bot,a,en,682.91,982.60,211.56,640.38,649.12,680.54,723.56,720.97,919.17,919.61,968.29,1010.76,1095.15
ajl,fought,a,en,696.57,1030.92,166.53,681.25,699.45,710.45,691.12,700.59,999.49,997.77,997.86,1030.16,1129.32
ajl,sought,a,en,677.87,1033.90,359.71,682.72,674.62,678.65,676.32,677.02,1091.54,1014.92,930.30,1004.52,1128.21
ajl,caught,a,en,709.60,1057.89,364.95,659.61,675.24,718.17,748.82,746.12,975.43,997.89,975.56,1080.25,1260.33
ajl,brought,a,en,725.90,1089.57,156.97,727.35,737.68,714.53,723.84,726.10,1089.42,1093.11,1115.07,1050.64,1099.59
ajl,moot,u,en,402.85,1440.53,443.07,382.76,398.44,414.68,411.42,406.95,1656.19,1564.19,1370.86,1275.58,1335.81
ajl,boot,u,en,338.44,1468.97,331.61,348.16,340.10,330.34,333.21,340.42,1627.28,1521.03,1425.02,1356.16,1415.34
ajl,food,u,en,328.66,1604.35,178.04,334.67,322.71,322.08,319.76,344.08,1634.72,1663.07,1649.92,1542.71,1531.31
ajl,soothe,u,en,313.85,1714.66,251.51,324.13,312.42,310.67,304.90,317.13,1810.50,1833.43,1683.93,1634.43,1611.01
ajl,cooed,u,en,321.45,1437.02,347.91,335.58,312.42,314.83,314.74,329.67,1578.65,1526.55,1440.69,1292.30,1346.90
ajl,dude,u,en,293.87,1749.86,279.01,280.38,283.39,290.46,298.77,316.34,1862.61,1850.67,1766.41,1683.35,1586.26
ajl,mis,i,sp,403.11,2338.60,101.50,381.73,378.41,399.71,430.41,425.29,2311.05,2331.50,2348.13,2361.07,2341.28
ajl,bis,i,sp,298.10,2164.97,95.26,294.66,295.11,294.69,296.97,309.05,2106.83,2159.34,2184.52,2182.86,2191.32
ajl,pis,i,sp,297.81,2211.90,65.52,299.65,300.43,293.77,291.67,303.50,2218.56,2205.61,2199.36,2224.73,2211.24
ajl,cito,i,sp,303.94,2205.87,148.61,325.52,305.66,300.37,294.09,294.05,2124.55,2185.59,2241.03,2248.56,2229.63
ajl,fito,i,sp,301.29,2240.54,54.41,314.54,307.20,299.56,292.99,292.16,2210.90,2224.81,2248.54,2258.33,2260.11
ajl,quito,i,sp,302.21,2174.03,42.35,310.82,303.93,301.54,299.65,295.12,2182.16,2175.51,2183.42,2168.89,2160.14
ajl,mas,a,sp,911.91,1424.46,169.60,869.46,917.92,934.90,952.86,884.40,1410.54,1443.31,1425.95,1422.38,1420.14
ajl,vas,a,sp,783.92,1412.32,170.84,770.27,804.55,800.06,793.04,751.68,1352.72,1395.44,1390.00,1455.34,1468.12
ajl,pasa,a,sp,802.96,1399.24,224.88,772.19,833.00,826.24,822.06,761.33,1333.71,1373.13,1369.10,1436.12,1484.12
ajl,sala,a,sp,765.87,1474.13,176.07,740.54,765.15,775.78,783.03,764.85,1552.77,1460.51,1430.86,1458.16,1468.34
ajl,fama,a,sp,727.01,1301.75,62.07,750.18,752.01,733.51,702.08,697.25,1308.76,1305.67,1297.38,1300.72,1296.24
ajl,cama,a,sp,768.64,1462.91,176.27,779.03,811.71,788.74,745.84,717.89,1503.60,1504.92,1473.47,1435.27,1397.28
ajl,musa,u,sp,465.89,1474.36,1204.56,479.34,495.93,485.79,449.70,418.68,1905.08,1861.85,1836.58,826.18,942.09
ajl,bulto,u,sp,375.27,798.96,206.31,372.69,377.43,379.31,375.23,371.68,739.06,733.40,758.26,832.03,932.07
ajl,puso,u,sp,367.98,850.19,376.46,376.49,369.94,358.67,366.47,368.33,726.21,747.97,770.93,907.00,1098.85
ajl,supo,u,sp,360.29,931.67,358.39,348.44,347.38,358.44,371.73,375.45,1130.45,999.15,930.55,824.29,773.92
ajl,fumo,u,sp,392.62,727.41,108.73,393.64,419.80,384.19,377.93,387.52,741.65,714.87,732.27,717.79,730.45
ajl,cura,u,sp,344.34,728.34,170.36,341.51,338.26,346.73,341.43,353.78,694.89,679.84,707.47,727.40,832.11
